
gamma_control2
2020-06-16	15:22:06

Participant	Session	Trial	Event	Participant		Pressed Or	X	Y	Error	Reaction
Name	ID	No.	Name	Response	Key	Released	Position	Position	Code	Time	Trial Answered
		10	click_train_40Hz-1						NR	0	
		10	click_train_40Hz-2						NR	0	
		10	click_train_40Hz-3						NR	0	
		10	click_train_40Hz-4						NR	0	
		10	click_train_42Hz-5						NR	0	
		10	response		Right	Pressed	403	222	C	7813	
		6	click_train_42Hz-1						NR	0	
		6	click_train_40Hz-2						NR	0	
		6	click_train_40Hz-3						NR	0	
		6	click_train_40Hz-4						NR	0	
		6	click_train_40Hz-5						NR	0	
		6	response		Right	Pressed	403	222	C	7670	
		9	click_train_40Hz-1						NR	0	
		9	click_train_40Hz-2						NR	0	
		9	click_train_40Hz-3						NR	0	
		9	click_train_42Hz-4						NR	0	
		9	click_train_40Hz-5						NR	0	
		9	response		Right	Pressed	403	222	C	7530	
		7	click_train_40Hz-1						NR	0	
		7	click_train_42Hz-2						NR	0	
		7	click_train_40Hz-3						NR	0	
		7	click_train_40Hz-4						NR	0	
		7	click_train_40Hz-5						NR	0	
		7	response		Right	Pressed	403	222	C	7530	
		5	click_train_40Hz-1						NR	0	
		5	click_train_40Hz-2						NR	0	
		5	click_train_40Hz-3						NR	0	
		5	click_train_40Hz-4						NR	0	
		5	click_train_40Hz-5						NR	0	
		5	response		Middle	Pressed	403	223	C	7702	
		3	click_train_40Hz-1						NR	0	
		3	click_train_40Hz-2						NR	0	
		3	click_train_40Hz-3						NR	0	
		3	click_train_40Hz-4						NR	0	
		3	click_train_40Hz-5						NR	0	
		3	response		Middle	Pressed	403	223	C	7529	
		4	click_train_40Hz-1						NR	0	
		4	click_train_40Hz-2						NR	0	
		4	click_train_40Hz-3						NR	0	
		4	click_train_40Hz-4						NR	0	
		4	click_train_40Hz-5						NR	0	
		4	response		Right	Pressed	403	222	C	7528	
		8	click_train_40Hz-1						NR	0	
		8	click_train_40Hz-2						NR	0	
		8	click_train_42Hz-3						NR	0	
		8	click_train_40Hz-4						NR	0	
		8	click_train_40Hz-5						NR	0	
		8	response		Right	Pressed	403	222	C	7559	
		1	click_train_40Hz-1						NR	0	
		1	click_train_40Hz-2						NR	0	
		1	click_train_40Hz-3						NR	0	
		1	click_train_40Hz-4						NR	0	
		1	click_train_40Hz-5						NR	0	
		1	response		Middle	Pressed	403	223	C	7647	
		2	click_train_40Hz-1						NR	0	
		2	click_train_40Hz-2						NR	0	
		2	click_train_40Hz-3						NR	0	
		2	click_train_40Hz-4						NR	0	
		2	click_train_40Hz-5						NR	0	
		2	response		Middle	Pressed	403	223	C	7670	
		10	click_train_40Hz-1						NR	0	
		10	click_train_40Hz-2						NR	0	
		10	click_train_40Hz-3						NR	0	
		10	click_train_40Hz-4						NR	0	
		10	click_train_42Hz-5						NR	0	
		10	response		Right	Pressed	403	222	C	7708	
		9	click_train_40Hz-1						NR	0	
		9	click_train_40Hz-2						NR	0	
		9	click_train_40Hz-3						NR	0	
		9	click_train_42Hz-4						NR	0	
		9	click_train_40Hz-5						NR	0	
		9	response		Middle	Pressed	403	223	C	7758	
		2	click_train_40Hz-1						NR	0	
		2	click_train_40Hz-2						NR	0	
		2	click_train_40Hz-3						NR	0	
		2	click_train_40Hz-4						NR	0	
		2	click_train_40Hz-5						NR	0	
		2	response		Middle	Pressed	403	223	C	7530	
		3	click_train_40Hz-1						NR	0	
		3	click_train_40Hz-2						NR	0	
		3	click_train_40Hz-3						NR	0	
		3	click_train_40Hz-4						NR	0	
		3	click_train_40Hz-5						NR	0	
		3	response		Middle	Pressed	403	223	C	7790	
		5	click_train_40Hz-1						NR	0	
		5	click_train_40Hz-2						NR	0	
		5	click_train_40Hz-3						NR	0	
		5	click_train_40Hz-4						NR	0	
		5	click_train_40Hz-5						NR	0	
		5	response		Middle	Pressed	403	223	C	7847	
		1	click_train_40Hz-1						NR	0	
		1	click_train_40Hz-2						NR	0	
		1	click_train_40Hz-3						NR	0	
		1	click_train_40Hz-4						NR	0	
		1	click_train_40Hz-5						NR	0	
		1	response		Middle	Pressed	403	223	C	7589	
		8	click_train_40Hz-1						NR	0	
		8	click_train_40Hz-2						NR	0	
		8	click_train_42Hz-3						NR	0	
		8	click_train_40Hz-4						NR	0	
		8	click_train_40Hz-5						NR	0	
		8	response		Middle	Pressed	403	223	C	7531	
		4	click_train_40Hz-1						NR	0	
		4	click_train_40Hz-2						NR	0	
		4	click_train_40Hz-3						NR	0	
		4	click_train_40Hz-4						NR	0	
		4	click_train_40Hz-5						NR	0	
		4	response		Middle	Pressed	403	223	C	7531	
		7	click_train_40Hz-1						NR	0	
		7	click_train_42Hz-2						NR	0	
		7	click_train_40Hz-3						NR	0	
		7	click_train_40Hz-4						NR	0	
		7	click_train_40Hz-5						NR	0	
		7	response		Right	Pressed	403	222	C	7531	
		6	click_train_42Hz-1						NR	0	
		6	click_train_40Hz-2						NR	0	
		6	click_train_40Hz-3						NR	0	
		6	click_train_40Hz-4						NR	0	
		6	click_train_40Hz-5						NR	0	
		6	response		Middle	Pressed	403	223	C	7598	
		6	click_train_42Hz-1						NR	0	
		6	click_train_40Hz-2						NR	0	
		6	click_train_40Hz-3						NR	0	
		6	click_train_40Hz-4						NR	0	
		6	click_train_40Hz-5						NR	0	
		6	response		Middle	Pressed	403	223	C	7529	
		2	click_train_40Hz-1						NR	0	
		2	click_train_40Hz-2						NR	0	
		2	click_train_40Hz-3						NR	0	
		2	click_train_40Hz-4						NR	0	
		2	click_train_40Hz-5						NR	0	
		2	response		Middle	Pressed	403	223	C	7530	
		9	click_train_40Hz-1						NR	0	
		9	click_train_40Hz-2						NR	0	
		9	click_train_40Hz-3						NR	0	
		9	click_train_42Hz-4						NR	0	
		9	click_train_40Hz-5						NR	0	
		9	response		Right	Pressed	403	222	C	7530	
		1	click_train_40Hz-1						NR	0	
		1	click_train_40Hz-2						NR	0	
		1	click_train_40Hz-3						NR	0	
		1	click_train_40Hz-4						NR	0	
		1	click_train_40Hz-5						NR	0	
		1	response		Middle	Pressed	403	223	C	7803	
		10	click_train_40Hz-1						NR	0	
		10	click_train_40Hz-2						NR	0	
		10	click_train_40Hz-3						NR	0	
		10	click_train_40Hz-4						NR	0	
		10	click_train_42Hz-5						NR	0	
		10	response		Right	Pressed	403	222	C	7830	
		4	click_train_40Hz-1						NR	0	
		4	click_train_40Hz-2						NR	0	
		4	click_train_40Hz-3						NR	0	
		4	click_train_40Hz-4						NR	0	
		4	click_train_40Hz-5						NR	0	
		4	response		Middle	Pressed	403	223	C	7790	
		5	click_train_40Hz-1						NR	0	
		5	click_train_40Hz-2						NR	0	
		5	click_train_40Hz-3						NR	0	
		5	click_train_40Hz-4						NR	0	
		5	click_train_40Hz-5						NR	0	
		5	response		Middle	Pressed	403	223	C	7532	
		3	click_train_40Hz-1						NR	0	
		3	click_train_40Hz-2						NR	0	
		3	click_train_40Hz-3						NR	0	
		3	click_train_40Hz-4						NR	0	
		3	click_train_40Hz-5						NR	0	
		3	response		Middle	Pressed	403	223	C	7589	
		8	click_train_40Hz-1						NR	0	
		8	click_train_40Hz-2						NR	0	
		8	click_train_42Hz-3						NR	0	
		8	click_train_40Hz-4						NR	0	
		8	click_train_40Hz-5						NR	0	
		8	response		Right	Pressed	403	222	C	7660	
		7	click_train_40Hz-1						NR	0	
		7	click_train_42Hz-2						NR	0	
		7	click_train_40Hz-3						NR	0	
		7	click_train_40Hz-4						NR	0	
		7	click_train_40Hz-5						NR	0	
		7	response		Right	Pressed	403	222	C	7582	
		7	click_train_40Hz-1						NR	0	
		7	click_train_42Hz-2						NR	0	
		7	click_train_40Hz-3						NR	0	
		7	click_train_40Hz-4						NR	0	
		7	click_train_40Hz-5						NR	0	
		7	response		Middle	Pressed	403	223	C	7571	
		3	click_train_40Hz-1						NR	0	
		3	click_train_40Hz-2						NR	0	
		3	click_train_40Hz-3						NR	0	
		3	click_train_40Hz-4						NR	0	
		3	click_train_40Hz-5						NR	0	
		3	response		Middle	Pressed	403	223	C	7772	
		4	click_train_40Hz-1						NR	0	
		4	click_train_40Hz-2						NR	0	
		4	click_train_40Hz-3						NR	0	
		4	click_train_40Hz-4						NR	0	
		4	click_train_40Hz-5						NR	0	
		4	response		Middle	Pressed	403	223	C	7782	
		2	click_train_40Hz-1						NR	0	
		2	click_train_40Hz-2						NR	0	
		2	click_train_40Hz-3						NR	0	
		2	click_train_40Hz-4						NR	0	
