
gamma_control2
2020-06-16	13:40:45

Participant	Session	Trial	Event	Participant		Pressed Or	X	Y	Error	Reaction
Name	ID	No.	Name	Response	Key	Released	Position	Position	Code	Time	Trial Answered
		4	click_train_40Hz-1						NR	0	
		4	click_train_40Hz-2						NR	0	
		4	click_train_40Hz-3						NR	0	
		4	click_train_40Hz-4						NR	0	
		4	click_train_40Hz-5						NR	0	
		4	response		Left	Pressed	320	86	C	15233	
		2	click_train_40Hz-1						NR	0	
		2	click_train_40Hz-2						NR	0	
		2	click_train_40Hz-3						NR	0	
		2	click_train_40Hz-4						NR	0	
		2	click_train_40Hz-5						NR	0	
		2	response		Right	Pressed	304	74	C	8965	
		9	click_train_40Hz-1						NR	0	
		9	click_train_40Hz-2						NR	0	
		9	click_train_40Hz-3						NR	0	
		9	click_train_42Hz-4						NR	0	
		9	click_train_40Hz-5						NR	0	
		9	response		Left	Pressed	302	67	C	7567	
		5	click_train_40Hz-1						NR	0	
