
gamma_control2
2020-06-16	15:05:04

Participant	Session	Trial	Event	Participant		Pressed Or	X	Y	Error	Reaction
Name	ID	No.	Name	Response	Key	Released	Position	Position	Code	Time	Trial Answered
		1	click_train_40Hz-1						NR	0	
		1	click_train_40Hz-2						NR	0	
		1	click_train_40Hz-3						NR	0	
		1	click_train_40Hz-4						NR	0	
		1	click_train_40Hz-5						NR	0	
		1	response		Middle	Pressed	30	311	C	40885	
		6	click_train_44Hz-1						NR	0	
		6	click_train_40Hz-2						NR	0	
		6	click_train_40Hz-3						NR	0	
		6	click_train_40Hz-4						NR	0	
		6	click_train_40Hz-5						NR	0	
		6	response		Middle	Pressed	30	311	C	17430	
		6	click_train_44Hz-1						NR	0	
